Match_addr,ARC_Street,File_,Directory,Full_Link,Quick_Link,Date_,Location,Back_of_Sh,Job_Catego,Hyperlink,GlobalID,Leak_Numbe,Leak_Num_Y,X,Y
108 OAKLEY DR,108 East Oakley Dr.,DOC062411-031.tif,S:\WORKSHEETS\Worksheets_2008-3,S:\WORKSHEETS\Worksheets_2008-3\DOC062411-031.tif,DOC062411-031.tif,3/17/2008,108 East Oakley Dr.,,Main Break/Leak,\\water-server3\waterdept\WORKSHEETS\Worksheets_2008-3\DOC062411-031.tif,{F2E10DC6-C9B0-4B22-A809-12659FF5C011},043,2008,-76.14190000000,42.98710000000
200 ADAMS ST,Adams St.,DOC063011-005.tif,S:\WORKSHEETS\Worksheets_2007-6,S:\WORKSHEETS\Worksheets_2007-6\DOC063011-005.tif,DOC063011-005.tif,6/2/2007,Adams St.,,Main Break/Leak,\\water-server3\waterdept\WORKSHEETS\Worksheets_2007-6\DOC063011-005.tif,{5456BC83-BF8E-4E73-B31A-AD9CC9940CD4},,2007,-76.13880000000,43.04270000000
2 LIBERTY ST,Liberty St (Dead End),DOC062911-048.tif,S:\WORKSHEETS\Worksheets_2007-3,S:\WORKSHEETS\Worksheets_2007-3\DOC062911-048.tif,DOC062911-048.tif,3/22/2007,Liberty St (Dead End),,Main Break/Leak,\\water-server3\waterdept\WORKSHEETS\Worksheets_2007-3\DOC062911-048.tif,{F0B0D381-14F7-41AD-8DF0-332C6B914ED9},019,2007,-76.17430000000,43.04890000000
2 DELHI ST,Delhi St.,DOC062811-092.tif,S:\WORKSHEETS\Worksheets_2008-10,S:\WORKSHEETS\Worksheets_2008-10\DOC062811-092.tif,DOC062811-092.tif,10/30/2008,Delhi St.,,Main Break/Leak,\\water-server3\waterdept\WORKSHEETS\Worksheets_2008-10\DOC062811-092.tif,{2A13BD25-A0EC-40C4-84B0-8246B2A05BE1},,2008,-76.13200000000,43.05630000000
100 STATE FAIR BLVD,State Fair Blvd.,DOC062211-053.tif,S:\WORKSHEETS\Worksheets_2010-6,S:\WORKSHEETS\Worksheets_2010-6\DOC062211-053.tif,DOC062211-053.tif,6/15/2010,State Fair Blvd.,,Main Break/Leak,\\water-server3\waterdept\WORKSHEETS\Worksheets_2010-6\DOC062211-053.tif,{04BA0316-FBFF-4B80-ACDA-B2AB12929927},135,2010,-76.20650000000,43.07160000000
500 STATE FAIR BLVD,500 State Fair Blvd,DOC070711-016.tif,S:\WORKSHEETS\Worksheets_2010-11,S:\WORKSHEETS\Worksheets_2010-11\DOC070711-016.tif,DOC070711-016.tif,11/5/2010,500 State Fair Blvd,,Main Break/Leak,\\water-server3\waterdept\WORKSHEETS\Worksheets_2010-11\DOC070711-016.tif,{4D44F5A8-B88F-4151-9E1F-2EF682F9DFC1},263,2010,-76.19550000000,43.06450000000
500 STATE FAIR BLVD,500 Stat Fair Blvd,DOC070611-008.tif,S:\WORKSHEETS\Worksheets_2010-9,S:\WORKSHEETS\Worksheets_2010-9\DOC070611-008.tif,DOC070611-008.tif,9/3/2010,500 Stat Fair Blvd,,Main Break/Leak,\\water-server3\waterdept\WORKSHEETS\Worksheets_2010-9\DOC070611-008.tif,{32D16DF9-1134-48A2-9D17-6CECC68DA062},228,2010,-76.19490000000,43.06410000000
100 STATE FAIR BLVD,State Farm Blvd,DOC070611-001.tif,S:\WORKSHEETS\Worksheets_2010-9,S:\WORKSHEETS\Worksheets_2010-9\DOC070611-001.tif,DOC070611-001.tif,9/1/2010,State Farm Blvd,,Main Break/Leak,\\water-server3\waterdept\WORKSHEETS\Worksheets_2010-9\DOC070611-001.tif,{E560B150-58D2-4143-A0AB-A235C071DC82},227,2010,-76.19750000000,43.06580000000
100 STATE FAIR BLVD,State Fair Blvd,DOC070611-002.tif,S:\WORKSHEETS\Worksheets_2010-9,S:\WORKSHEETS\Worksheets_2010-9\DOC070611-002.tif,DOC070611-002.tif,9/1/2010,State Fair Blvd,,Main Break/Leak,\\water-server3\waterdept\WORKSHEETS\Worksheets_2010-9\DOC070611-002.tif,{C7DA73FA-F665-44B2-9794-04C018F866FB},227,2010,-76.19750000000,43.06580000000
100 STATE FAIR BLVD,State Fair Blvd,DOC070111-066.tif,S:\WORKSHEETS\Worksheets_2007-8,S:\WORKSHEETS\Worksheets_2007-8\DOC070111-066.tif,DOC070111-066.tif,8/30/2007,State Fair Blvd,,Main Break/Leak,\\water-server3\waterdept\WORKSHEETS\Worksheets_2007-8\DOC070111-066.tif,{C3E2C0AB-6CED-421D-8879-68B0D89EAA78},186,2007,-76.19650000000,43.06500000000
E FAYETTE ST & WESTMORELAND AVE,E. Fayette St  & Westmoreland Ave.,DOC011312-001.tif,S:\WORKSHEETS\Worksheets_2012-01,S:\WORKSHEETS\Worksheets_2012-01\DOC011312-001.tif,DOC011312-001.tif,1/12/2012,E. Fayette St  & Westmoreland Ave.,,Main Break/Leak,\\water-server3\waterdept\WORKSHEETS\Worksheets_2012-01\DOC011312-001.tif,{C97B1A5A-5D84-4B8D-A78F-82D81972D6C5},008,2012,-76.11480000000,43.04820000000
